date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2015-01-01,27,25,0.0,10.2,7,7,72,03:54 PM,03:31 AM,07:06 AM,07:09 PM,23,29,29,26,26,64,84,10.9,1011,27,9,178,17
2015-01-02,29,25,0.0,8.8,7,7,80,04:46 PM,04:22 AM,07:07 AM,07:10 PM,22,30,30,27,27,53,75,1.7,1011,29,10,98,19
2015-01-03,30,25,0.0,10.2,7,7,87,05:38 PM,05:14 AM,07:07 AM,07:10 PM,23,30,30,27,22,36,77,4.1,1011,30,10,220,15
2015-01-04,30,25,0.0,10.2,7,7,94,06:29 PM,06:06 AM,07:08 AM,07:11 PM,23,31,31,27,21,37,78,7.6,1009,30,9,291,14
2015-01-05,32,25,0.0,10.2,7,7,100,07:19 PM,06:56 AM,07:08 AM,07:11 PM,23,31,31,28,17,39,78,6.7,1009,32,10,250,11
2015-01-06,30,25,0.0,11.6,7,7,100,08:07 PM,07:46 AM,07:09 AM,07:12 PM,24,32,32,28,16,31,81,9.4,1008,30,9,304,10
2015-01-07,30,25,0.0,11.6,7,7,84,08:54 PM,08:32 AM,07:09 AM,07:12 PM,24,31,31,27,17,43,82,8.5,1009,30,9,250,11
2015-01-08,29,25,0.0,8.8,6,6,77,09:39 PM,09:17 AM,07:09 AM,07:13 PM,24,30,30,27,17,69,83,12.4,1010,29,9,254,11
2015-01-09,28,25,0.0,7.4,7,7,69,10:22 PM,10:01 AM,07:10 AM,07:13 PM,23,29,29,26,16,62,84,3.7,1012,28,10,334,11
2015-01-10,29,24,0.0,11.6,7,7,62,11:05 PM,10:43 AM,07:10 AM,07:13 PM,23,30,30,27,15,46,83,4.6,1010,29,9,257,10
2015-01-11,29,25,0.0,11.6,7,7,55,11:47 PM,11:25 AM,07:11 AM,07:14 PM,23,30,30,27,20,48,79,3.7,1010,29,10,181,13
2015-01-12,30,25,0.0,10.2,7,7,48,No moonrise,12:07 PM,07:11 AM,07:14 PM,23,30,30,27,24,45,80,4.4,1010,30,10,54,16
2015-01-13,30,25,0.0,11.6,7,7,40,12:30 AM,12:50 PM,07:11 AM,07:15 PM,23,30,30,27,26,34,77,0.1,1011,30,10,15,18
2015-01-14,29,25,0.0,11.6,7,7,33,01:15 AM,01:35 PM,07:12 AM,07:15 PM,23,30,30,27,24,45,80,3.3,1012,29,10,19,17
2015-01-15,30,25,0.0,10.2,6,6,26,02:02 AM,02:22 PM,07:12 AM,07:15 PM,22,29,29,27,20,60,77,0.2,1012,30,10,58,15
2015-01-16,30,24,0.0,11.6,7,7,19,02:52 AM,03:13 PM,07:13 AM,07:16 PM,22,29,29,27,19,37,76,0.0,1012,30,10,99,14
2015-01-17,30,24,0.0,11.6,7,7,11,03:45 AM,04:07 PM,07:13 AM,07:16 PM,22,29,29,26,20,39,75,0.2,1012,30,10,56,15
2015-01-18,30,24,0.0,11.6,7,7,4,04:40 AM,05:05 PM,07:13 AM,07:17 PM,21,29,29,26,21,41,75,0.2,1012,30,10,18,15
2015-01-19,30,24,0.0,11.6,7,7,0,05:39 AM,06:04 PM,07:13 AM,07:17 PM,21,29,29,27,20,27,72,0.0,1013,30,10,24,15
2015-01-20,30,24,0.0,11.6,7,7,0,06:38 AM,07:04 PM,07:14 AM,07:17 PM,21,29,29,27,20,29,74,0.2,1014,30,10,30,15
2015-01-21,29,24,0.0,11.6,7,7,3,07:38 AM,08:03 PM,07:14 AM,07:18 PM,23,29,29,26,20,44,81,7.6,1015,29,9,22,13
2015-01-22,31,24,0.0,11.6,7,7,10,08:35 AM,09:01 PM,07:14 AM,07:18 PM,21,29,29,27,22,52,74,0.0,1014,31,10,20,16
2015-01-23,30,24,0.0,10.2,7,7,18,09:31 AM,09:57 PM,07:15 AM,07:18 PM,21,29,29,26,21,50,74,0.4,1012,30,10,27,15
2015-01-24,30,24,0.0,11.6,7,7,25,10:25 AM,10:51 PM,07:15 AM,07:18 PM,22,29,29,27,16,40,75,0.6,1013,30,10,27,12
2015-01-25,29,24,0.0,11.6,7,7,32,11:18 AM,11:44 PM,07:15 AM,07:19 PM,22,29,29,26,16,38,77,0.1,1013,29,10,26,11
2015-01-26,30,25,0.0,8.8,7,7,39,12:09 PM,No moonset,07:15 AM,07:19 PM,22,29,29,27,19,65,75,0.2,1012,30,10,25,14
2015-01-27,31,24,0.0,11.6,7,7,47,01:01 PM,12:36 AM,07:15 AM,07:19 PM,22,29,29,27,18,42,74,0.1,1011,31,10,25,13
2015-01-28,32,24,0.0,10.2,7,7,54,01:52 PM,01:28 AM,07:16 AM,07:19 PM,22,30,30,27,15,35,74,0.0,1010,32,10,20,11
2015-01-29,30,25,0.0,8.8,7,7,61,02:43 PM,02:19 AM,07:16 AM,07:20 PM,22,30,30,27,17,48,76,5.1,1011,30,10,14,11
2015-01-30,30,25,0.0,10.2,7,7,69,03:35 PM,03:11 AM,07:16 AM,07:20 PM,23,30,30,27,16,59,79,0.0,1012,30,10,65,12
2015-01-31,30,25,0.0,10.2,7,7,72,04:25 PM,04:02 AM,07:16 AM,07:20 PM,22,30,30,27,21,53,75,0.0,1012,30,10,20,15
2015-02-01,29,24,0.0,8.8,6,6,86,05:15 PM,04:52 AM,07:16 AM,07:20 PM,21,28,28,26,21,48,73,0.1,1012,29,10,17,15
